Date	Species	Strain	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
07/04/22	Cg	yH609	rim15Δ	MM	45 min	2 hr	0 mM	1000	564
07/04/22	Cg	yH609	rim15Δ	MO	45 min	2 hr	60 mM	1000	32
07/04/22	Cg	yH609	rim15Δ	MO	45 min	2 hr	80 mM	1000	10
07/04/22	Cg	yH609	rim15Δ	PM	45 min	2 hr	0 mM	1000	453
07/04/22	Cg	yH609	rim15Δ	PO	45 min	2 hr	60 mM	1000	74
07/04/22	Cg	yH609	rim15Δ	PO	45 min	2 hr	80 mM	1000	38
07/02/22	Cg	yH001	wt	MM	45 min	2 hr	0 mM	1000	647
07/02/22	Cg	yH001	wt	MO	45 min	2 hr	80 mM	1000	69
07/02/22	Cg	yH001	wt	MO	45 min	2 hr	100 mM	1000	32
07/02/22	Cg	yH001	wt	PM	45 min	2 hr	0 mM	1000	533
07/02/22	Cg	yH001	wt	PO	45 min	2 hr	80 mM	1000	154
07/02/22	Cg	yH001	wt	PO	45 min	2 hr	100 mM	1000	116
07/02/22	Cg	yH002	wt	MM	45 min	2 hr	0 mM	1000	644
07/02/22	Cg	yH002	wt	MO	45 min	2 hr	80 mM	1000	35
07/02/22	Cg	yH002	wt	MO	45 min	2 hr	100 mM	1000	25
07/02/22	Cg	yH002	wt	PM	45 min	2 hr	0 mM	1000	601
07/02/22	Cg	yH002	wt	PO	45 min	2 hr	80 mM	1000	124
07/02/22	Cg	yH002	wt	PO	45 min	2 hr	100 mM	1000	96
07/02/22	Cg	yH609	rim15Δ	MM	45 min	2 hr	0 mM	1000	461
07/02/22	Cg	yH609	rim15Δ	MO	45 min	2 hr	60 mM	1000	27
07/02/22	Cg	yH609	rim15Δ	MO	45 min	2 hr	80 mM	1000	18
07/02/22	Cg	yH609	rim15Δ	PM	45 min	2 hr	0 mM	1000	531
07/02/22	Cg	yH609	rim15Δ	PO	45 min	2 hr	60 mM	1000	82
07/02/22	Cg	yH609	rim15Δ	PO	45 min	2 hr	80 mM	1000	44
06/29/22	Cg	yH001	wt	MM	45 min	2 hr	0 mM	1000	0
06/29/22	Cg	yH001	wt	MO	45 min	2 hr	80 mM	1000	0
06/29/22	Cg	yH001	wt	MO	45 min	2 hr	100 mM	1000	0
06/29/22	Cg	yH001	wt	PM	45 min	2 hr	0 mM	1000	0
06/29/22	Cg	yH001	wt	PO	45 min	2 hr	80 mM	1000	0
06/29/22	Cg	yH001	wt	PO	45 min	2 hr	100 mM	1000	0
06/29/22	Cg	yH002	wt	MM	45 min	2 hr	0 mM	1000	0
06/29/22	Cg	yH002	wt	MO	45 min	2 hr	80 mM 	1000	0
06/29/22	Cg	yH002	wt	MO	45 min	2 hr	100 mM	1000	0
06/29/22	Cg	yH002	wt	PM	45 min	2 hr	0 mM	1000	0
06/29/22	Cg	yH002	wt	PO	45 min	2 hr	80 mM	1000	0
06/29/22	Cg	yH002	wt	PO	45 min	2 hr	100 mM	1000	0
06/29/22	Cg	yH609	rim15Δ	MM	45 min	2 hr	0 mM	1000	0
06/29/22	Cg	yH609	rim15Δ	MO	45 min	2 hr	60 mM	1000	0
06/29/22	Cg	yH609	rim15Δ	MO	45 min	2 hr	80 mM	1000	0
06/29/22	Cg	yH609	rim15Δ	PM	45 min	2 hr	0 mM	1000	0
06/29/22	Cg	yH609	rim15Δ	PO	45 min	2 hr	60 mM	1000	0
06/29/22	Cg	yH609	rim15Δ	PO	45 min	2 hr	80 mM	1000	0
06/29/22	Cg	yH610	rim15Δ	MM	45 min	2 hr	0 mM	1000	0
06/29/22	Cg	yH610	rim15Δ	MO	45 min	2 hr	60 mM	1000	0
06/29/22	Cg	yH610	rim15Δ	MO	45 min	2 hr	80 mM	1000	0
06/29/22	Cg	yH610	rim15Δ	PM	45 min	2 hr	0 mM	1000	0
06/29/22	Cg	yH610	rim15Δ	PO	45 min	2 hr	60 mM	1000	0
06/29/22	Cg	yH610	rim15Δ	PO	45 min	2 hr	80 mM	1000	0
06/28/22	Cg	yH001	wt	MM	45 min	2 hr	0 mM	1000	624
06/28/22	Cg	yH001	wt	MO	45 min	2 hr	80 mM	1000	46
06/28/22	Cg	yH001	wt	MO	45 min	2 hr	100 mM	1000	19
06/28/22	Cg	yH001	wt	PM	45 min	2 hr	0 mM	1000	586
06/28/22	Cg	yH001	wt	PO	45 min	2 hr	80 mM	1000	115
06/28/22	Cg	yH001	wt	PO	45 min	2 hr	100 mM	1000	77
06/28/22	Cg	yH002	wt	MM	45 min	2 hr	0 mM	1000	638
06/28/22	Cg	yH002	wt	MO	45 min	2 hr	80 mM	1000	40
06/28/22	Cg	yH002	wt	MO	45 min	2 hr	100 mM	1000	25
06/28/22	Cg	yH002	wt	PM	45 min	2 hr	0 mM	1000	629
06/28/22	Cg	yH002	wt	PO	45 min	2 hr	80 mM	1000	121
06/28/22	Cg	yH002	wt	PO	45 min	2 hr	100 mM	1000	82
06/28/22	Cg	yH609	rim15Δ	MM	45 min	2 hr	0 mM	1000	577
06/28/22	Cg	yH609	rim15Δ	MO	45 min	2 hr	60 mM	1000	23
06/28/22	Cg	yH609	rim15Δ	MO	45 min	2 hr	80 mM	1000	8
06/28/22	Cg	yH609	rim15Δ	PM	45 min	2 hr	0 mM	1000	537
06/28/22	Cg	yH609	rim15Δ	PO	45 min	2 hr	60 mM	1000	56
06/28/22	Cg	yH609	rim15Δ	PO	45 min	2 hr	80 mM	1000	31
06/28/22	Cg	yH610	rim15Δ	MM	45 min	2 hr	0 mM	1000	497
06/28/22	Cg	yH610	rim15Δ	MO	45 min	2 hr	60 mM	1000	26
06/28/22	Cg	yH610	rim15Δ	MO	45 min	2 hr	80 mM	1000	5
06/28/22	Cg	yH610	rim15Δ	PM	45 min	2 hr	0 mM	1000	598
06/28/22	Cg	yH610	rim15Δ	PO	45 min	2 hr	60 mM	1000	38
06/28/22	Cg	yH610	rim15Δ	PO	45 min	2 hr	80 mM	1000	27
06/24/22	Cg	yH001	wt	MM	45 min	2 hr	0 mM	1000	630
06/24/22	Cg	yH001	wt	MO	45 min	2 hr	80 mM	1000	24
06/24/22	Cg	yH001	wt	MO	45 min	2 hr	100 mM	1000	6
06/24/22	Cg	yH001	wt	PM	45 min	2 hr	0 mM	1000	501
06/24/22	Cg	yH001	wt	PO	45 min	2 hr	80 mM	1000	99
06/24/22	Cg	yH001	wt	PO	45 min	2 hr	100 mM	1000	58
06/24/22	Cg	yH273	msn2Δ	MM	45 min	2 hr	0 mM	1000	641
06/24/22	Cg	yH273	msn2Δ	MO	45 min	2 hr	80 mM	1000	22
06/24/22	Cg	yH273	msn2Δ	MO	45 min	2 hr	100 mM	1000	3
06/24/22	Cg	yH273	msn2Δ	PM	45 min	2 hr	0 mM	1000	609
06/24/22	Cg	yH273	msn2Δ	PO	45 min	2 hr	80 mM	1000	78
06/24/22	Cg	yH273	msn2Δ	PO	45 min	2 hr	100 mM	1000	66
06/24/22	Cg	yH262	msn4Δ	MM	45 min	2 hr	0 mM	1000	886
06/24/22	Cg	yH262	msn4Δ	MO	45 min	2 hr	40 mM	1000	33
