Date,Species,Strain,Genotype,Group,Len_1,Len_2,H2O2,Dilutions,Count,MO/MM,PO/PM,Experimenter
d091222,yH154,Sc,wt,PO,45min,2hr,2mM,1000,57,,0.2175572519,HT
d091222,yH154,Sc,wt,PO,45min,2hr,2.5mM,1000,34,,0.1297709924,HT
d091222,yH154,Sc,wt,PO,45min,2hr,3mM,1000,15,,0.0572519084,HT
d091222,yH154,Sc,wt,PO,45min,2hr,3.5mM,1000,28,,0.106870229,HT
d091222,yH149,Kl,wt,MM,45min,2hr,Mock,1000,281,1,,HT
d091222,yH149,Kl,wt,MO,45min,2hr,1.5mM,1000,17,0.06049822064,,HT
d091222,yH149,Kl,wt,MO,45min,2hr,2mM,1000,25,0.08896797153,,HT
d091222,yH149,Kl,wt,MO,45min,2hr,2.5mM,1000,20,0.07117437722,,HT
d091222,yH149,Kl,wt,MO,45min,2hr,3mM,1000,14,0.04982206406,,HT
d091222,yH149,Kl,wt,MO,45min,2hr,3.5mM,1000,11,0.03914590747,,HT
d091222,yH149,Kl,wt,PM,45min,2hr,Mock,1000,228,,1,HT
d091222,yH149,Kl,wt,PO,45min,2hr,1.5mM,1000,49,,0.2149122807,HT
d091222,yH149,Kl,wt,PO,45min,2hr,2mM,1000,36,,0.1578947368,HT
d091222,yH149,Kl,wt,PO,45min,2hr,2.5mM,1000,27,,0.1184210526,HT
d091222,yH149,Kl,wt,PO,45min,2hr,3mM,1000,39,,0.1710526316,HT
d091222,yH149,Kl,wt,PO,45min,2hr,3.5mM,1000,31,,0.1359649123,HT
