Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,D6,16747,10704,10379,4800.44,41.81,38.38
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,D7,5129,3516,4100,2523.24,63.95,62.74
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,D8,14469,11222,12577,5117.26,42.45,40.15
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,E5,4507,1966,2089,1760.05,74.14,71.87
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,E7,4683,2142,2497,1868.26,71.13,70.18
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,F5,15465,13138,13364,5587.18,39.33,36.02
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,F7,14885,13962,15097,5967.47,39.59,37.64
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,G5,15499,13362,12832,5870.12,40.46,37.36
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,G7,15618,13860,14198,5976.67,39.86,37.78
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,H5,16989,12022,13629,5060.87,39.22,37.13
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,H7,16446,12956,13093,5477.48,39.44,36.9
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,A5,12873,10299,12100,5209.94,47.77,43.32
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,A6,14285,10225,10784,4625.3,42.83,39.63
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,A7,13653,10377,9834,5083.96,45.81,41.6
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,A8,11701,9934,10016,4766.46,45.4,40.7
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,B5,14662,10678,10574,5196.11,46.1,40.92
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,B6,14548,9143,9834,4787.09,48.48,43.97
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,B7,14248,11190,12346,5539.4,47.26,41.11
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,B8,13026,8671,9834,4867.02,51.5,46.05
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,C5,4413,2577,4194,2018.01,67.48,66.68
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,C6,14149,10461,12093,4973,44.4,40.68
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,C7,4118,2289,4428,2644.25,87.59,82.05
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,C8,14533,10725,11635,5051.99,44.1,41.96
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,D5,4617,2298,4281,1931.9,71.31,71.1
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,D6,14729,10537,12092,4900.22,43.45,40.02
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,D7,0,NA,NA,NA,NA,NA
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,D8,14454,10673,12098,5222.54,45.48,42.36
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,E5,2860,1426,955,1329.86,75.47,69.89
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,E7,4920,1522,1331,1646.83,82.45,71.69
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,F5,15286,12208,13355,5555.15,42.2,39.45
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,F7,14753,12697,13356,5756.49,42.71,38.84
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,G5,15307,12182,13093,5458.16,41.78,38.59
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,G7,14692,12929,12845,5859.44,42.48,38.46
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,H5,15570,12153,12578,5440.52,41.78,38.56
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,H7,15301,12771,12828,5668.58,41.62,38.39
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,E6,15893,8139,8686,3549.91,41.15,38.55
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,F6,14774,7766,8258,3532.62,42.7,39.78
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,G6,15484,8587,9490,3731.04,40.85,38.35
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,E8,15207,8401,9486,3873.73,43.17,40.93
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,F8,15697,7509,8119,3637.33,44.89,42.39
Rep2-0Pi-Ctrl,d121721-30min-0Pi-gtr1-R2,30min,G8,14558,8638,8679,3963.63,42.93,40.88
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,A9,13826,26087,28784,13435.78,48.43,48.56
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,A10,14094,27147,26861,14189.77,48.22,48.86
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,A11,12043,10726,12829,5446.14,47.17,43.97
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,A12,12468,10693,13349,5384.57,46.85,43.66
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,B9,13988,21764,22329,10277.66,44.05,41.91
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,B10,14048,13504,14207,6814.54,46.95,42.79
Rep3-0Pi-Ctrl,d011322-60min-0Pi-gtr1-R3,60min,B11,13294,11726,13096,5435.75,43.69,40.64
