GeneID	S3	S4	S19	S20	S20prime
CAGL0D00198g	13	17	330	452	546
CAGL0D00220g	202	310	10	23	29
CAGL0D00242g	319	421	484	573	776
CAGL0D00264g	28	52	89	88	113
CAGL0D00286g	602	710	1595	2026	2566
CAGL0D00330g	148	210	176	203	226
CAGL0D00352g	35	48	225	367	401
CAGL0D00418g	420	512	1099	1803	2244
CAGL0D00440g	232	315	158	208	274
CAGL0D00462g	435	484	1373	1705	1972
CAGL0D00484g	2017	2518	2540	3465	4423
CAGL0D00506g	128	198	116	147	200
CAGL0D00528g	12507	16754	5846	8366	10774
CAGL0D00550g	2220	2756	427	525	700
