Plate,Sample,Treatment,Species,Gate,X Parameter,Count,%Total,%Gated,X Mean,X Median,X Peak,X SD,X %CV,X rSD,X %rCV
d032423-DCFCA-R5,E6,100mM,Cg,High_ROS,BL1-H,8994,14.345,29.08,1304,1214,1048,735,56.35,204.6,16.85
d032423-DCFCA-R5,F6,100mM,Cg,High_ROS,BL1-H,6312,10.203,20.604,1321,1179,1012,2882.36,218.24,171.98,14.59
d032423-DCFCA-R5,G6,Ctrl,Cg,High_ROS,BL1-H,4371,7.604,14.307,7337,1581,1025,15504.72,211.33,785.78,49.7
d032423-DCFCA-R5,H6,Ctrl,Cg,High_ROS,BL1-H,2637,3.99,8.46,1237,1146,1034,761.23,61.54,140.85,12.29
d032423-DCFCA-R5,A11,0Pi,Sc,High_ROS,BL1-H,5518,6.462,18.173,1503,1197,1012,1692.8,112.64,203.12,16.97
d032423-DCFCA-R5,A12,0Pi,Sc,High_ROS,BL1-H,6197,6.957,20.416,1668,1238,1023,1759.42,105.47,262.42,21.2
d032423-DCFCA-R5,B11,0.2mM,Sc,High_ROS,BL1-H,5600,5.997,18.471,1790,1160,1013,8467.36,473.02,148.26,12.78
d032423-DCFCA-R5,B12,0.2mM,Sc,High_ROS,BL1-H,5022,5.08,16.637,1536,1155,1013,5460.06,355.49,148.26,12.84
d032423-DCFCA-R5,C11,1mM,Sc,High_ROS,BL1-H,14827,18.811,48.861,8242,1424,1013,16370.11,198.61,492.22,34.57
d032423-DCFCA-R5,C12,1mM,Sc,High_ROS,BL1-H,13467,15.74,44.596,10475,1637,1082,16195.53,154.61,868.8,53.07
d032423-DCFCA-R5,D11,2mM,Sc,High_ROS,BL1-H,19815,26.386,65.194,26043,17495,47828,26260.83,100.84,24132.28,137.94
d032423-DCFCA-R5,D12,2mM,Sc,High_ROS,BL1-H,20705,23.615,68.257,28021,28326,46673,21994.32,78.49,27643.08,97.59
d032423-DCFCA-R5,E11,10mM,Sc,High_ROS,BL1-H,24279,32.513,80.044,39264,40186,51516,25289.28,64.41,26375.45,65.63
d032423-DCFCA-R5,E12,10mM,Sc,High_ROS,BL1-H,25451,29.374,84.42,35257,34661,40243,21142.82,59.97,20445.05,58.99
d032423-DCFCA-R5,H11,Ctrl,Sc,High_ROS,BL1-H,3628,4.259,11.958,1359,1152,1012,1864.88,137.26,148.26,12.87
d032423-DCFCA-R5,H12,Ctrl,Sc,High_ROS,BL1-H,4116,4.312,13.576,1516,1170,1035,3038.16,200.44,171.98,14.7
d032323-DCFCA-R4,A4,0Pi,Cg,High_ROS,BL1-H,6585,9.314,21.95,1353,1195,1048,4126.83,304.92,191.26,16
d032323-DCFCA-R4,B4,0Pi,Cg,High_ROS,BL1-H,2992,4.553,9.973,1386,1144,1012,2625.41,189.49,148.26,12.96
d032323-DCFCA-R4,C4,0.2mM,Cg,High_ROS,BL1-H,7040,9.862,23.467,1353,1197,1035,2053.72,151.79,191.26,15.98
d032323-DCFCA-R4,D4,0.2mM,Cg,High_ROS,BL1-H,8664,13.613,28.88,1354,1229,1012,1037.79,76.66,223.87,18.22
d032323-DCFCA-R4,E4,1mM,Cg,High_ROS,BL1-H,8842,15.786,29.473,1427,1208,1013,3519.72,246.68,194.22,16.08
d032323-DCFCA-R4,F4,1mM,Cg,High_ROS,BL1-H,6072,10.717,20.24,1568,1190,1012,4842.58,308.77,188.29,15.82
d032323-DCFCA-R4,G4,2mM,Cg,High_ROS,BL1-H,14032,24.589,46.773,52224,37463,97395,51435.27,98.49,49907.28,133.22
d032323-DCFCA-R4,H4,2mM,Cg,High_ROS,BL1-H,2634,4.07,8.78,1356,1146,1047,2864.65,211.24,139.36,12.16
d032323-DCFCA-R4,A6,10mM,Cg,High_ROS,BL1-H,5548,8.34,18.493,1280,1174,1012,958.45,74.87,170.5,14.52
d032323-DCFCA-R4,B6,10mM,Cg,High_ROS,BL1-H,4191,6.605,13.97,1417,1165,1013,3263.4,230.3,163.09,14
d032323-DCFCA-R4,C6,20mM,Cg,High_ROS,BL1-H,9637,14.794,32.123,1406,1237,1012,1799.67,127.98,226.84,18.34
d032323-DCFCA-R4,D6,20mM,Cg,High_ROS,BL1-H,10820,16.491,36.067,1365,1240,1035,1342.51,98.38,228.32,18.41
d032323-DCFCA-R4,E6,100mM,Cg,High_ROS,BL1-H,8734,13.913,29.113,1429,1205,1012,3991.31,279.23,197.19,16.36
d032323-DCFCA-R4,F6,100mM,Cg,High_ROS,BL1-H,6718,11.416,22.393,1616,1208,1012,4055.08,250.97,205.34,17.01
d032323-DCFCA-R4,G6,Ctrl,Cg,High_ROS,BL1-H,13318,23.306,44.393,45101,29035,66179,47355.41,105,40666.23,140.06
d032323-DCFCA-R4,H6,Ctrl,Cg,High_ROS,BL1-H,2924,4.535,9.747,1326,1149,1036,1868.52,140.87,143.81,12.52
